"eot_id","eot_nombre","eot_linea","cod_catalogo","cod_planilla","cod_epas","cod_tdp","situacion","gre_id","autorizado","operativo","reserva","permisionario","operativo_declarado","reserva_declarada","id_eot_vmt_hex","e_mail"
14,"CIUDAD DE LIMPIO SRL","34",19,"34                            ","17                            ","34                            ",1,1,48,44,4,True,37,0,"0013","empresaciudadelimpio@hotmail.com"
15,"CIUDAD DE LUQUE SRL","5",3,"555                           ","13                            ","5                             ",1,1,34,31,3,True,31,1,"0003","marlenemart1@hotmail.com"
16,"CIUDAD DE VILLETA SA","232",43,"232                           ","7                             ","232                           ",1,1,38,35,3,True,34,0,"002B","ciudaddevilleta@gmail.com"
17,"PUERTO ELSEÑO KO CHE","101-102",34,"101102                        ","                              ","101                           ",1,0,44,40,4,True,15,0,"0022","coop.pto.elsenokocheltda@hotmail.com"
18,"COTRISA","159",40,"159                           ","                              ","159                           ",1,0,NULL,NULL,NULL,False,0,0,NULL,NULL
19,"DE LA CONQUISTA SA","8-31",49,"831                           ","62                            ","31                            ",1,1,51,47,4,True,41,0,"0031","delaconquistasa@hotmail.com "
20,"GM T Y T SRL","54",28,"54                            ","20                            ","54                            ",1,1,31,29,2,True,29,2,"001C","gm.transporte@outlook.com "
21,"GONZALEZ QUIÑONEZ SRL","19",11,"19                            ","                              ","19                            ",1,3,22,20,2,True,9,0,"000B","gonzalezqsrl2020@gmail.com"
22,"GENERAL AQUINO SRL","28",16,"28                            ","3                             ","28                            ",1,1,37,34,3,True,28,0,"0010","jotamartransporte228@gmail.com"
23,"GRUPO BENE SA","11-203",6,"11203                         ","19                            ","11,203                        ",1,1,92,85,7,True,81,0,"0006","notificaciones@grupobene.com.py"
24,"INTER SA","55",29,"55                            ","11                            ","55                            ",1,0,NULL,NULL,NULL,False,0,0,NULL,NULL
25,"LA CHAQUEÑA SATC","5",4,"5                             ","10                            ","5                             ",1,1,36,33,3,True,29,0,"0004","lachaquenasatc@gmail.com"
26,"LA LIMPEÑA SRL","49-220",26,"49220                         ","22                            ","49                            ",1,1,93,86,7,True,73,0,"001A","limpena.l49@hotmail.com"
27,"LA LOMITA SA","88",31,"88                            ","57                            ","88                            ",1,3,40,36,4,True,32,0,"001F","transportelalomitasa@gmail.com"
28,"LA SANLORENZANA SA","45-56-50",24,"5650                          ","5                             ","45,50,56                      ",1,1,100,91,9,True,57,0,"0018","mauricio.vasconsellos@lasanlorenzana.com.py"
29,"TTL SA","23-24-33",14,"2324                          ","4                             ","23,24,31,33                   ",1,1,88,80,8,True,73,0,"000E"," ttlrecepcion@gmail.com"
30,"LINCE SRL","18-26-52-29",10,"2618                          ","                              ","18,26y52                      ",1,3,138,126,12,True,44,0,"000A","lincegrupo1@gmail.com "
31,"MAGNO SA","12-43-29",7,"1243                          ","                              ","12y43                         ",1,2,140,128,12,True,129,2,"0007","comunicaciones@magno.com.py"
32,"MARISCAL LOPEZ SRL","38",21,"38                            ","8                             ","38                            ",1,1,107,98,9,True,94,0,"0015","etmcallopezsrl1@gmail.com"
33,"Natividad de la V. Ma. S.R.L.-Línea 85","85",30,"85                            ","24                            ","85-nati                       ",1,0,0,0,0,False,0,0,NULL,NULL
34,"ÑANDUTI SRL L165","165-27",41,"16527                         ","25                            ","165                           ",1,1,119,113,6,True,89,0,"0029","nanduti165@hotmail.com"
35,"PUERTO FALCON SA","101",35,"101101                        ","54                            ","101(B)                        ",1,0,16,15,1,True,3,0,"0023","miguelromero2007@gmail.com "
36,"SAN ISIDRO SRL","48-51",5,"4851                          ","                              ","48y51                         ",1,2,66,60,6,True,58,0,"0005","sanisidro@click.com.py "
37,"SAN JOSE OBRERO SA","187",42,"187                           ","28                            ","187                           ",1,1,48,44,4,True,35,0,"002A","sanjoseobrerosa@gmail.com"
38,"SAN LORENZO CISA-Línea 27","27",15,"27                            ","16                            ","27                            ",1,1,0,0,0,False,0,0,NULL,NULL
39,"SMTC - Línea 2","2",1,"2                             ","                              ","2                             ",1,0,NULL,NULL,NULL,False,0,0,NULL,NULL
40,"DEL SUR","99",33,"99                            ","                              ","99                            ",2,0,NULL,NULL,NULL,False,0,0,NULL,NULL
41,"TRANSPORTISTAS GUARANI SRL","7-207",2,"2277                          ","                              ","2y7                           ",1,3,42,38,4,False,11,0,"0002","empresadetransportistasguarani@gmail.com"
42,"VANGUARDIA SACI","30",18,"30                            ","9                             ","30                            ",1,1,70,63,7,True,63,0,"0012","rafamartinez89@hotmail.com"
43,"AUT. VILLA HAYES SRL","46",25,"46                            ","21                            ","46                            ",1,0,NULL,NULL,NULL,False,0,0,NULL,NULL
44,"XIMEX SA","44",23,"44                            ","                              ","44                            ",1,2,64,58,6,True,56,0,"0017","gerenciaximex@gmail.com"
45,"PANCHITO LOPEZ SA","29",17,"                              ","                              ","-                             ",1,0,NULL,NULL,NULL,False,0,0,NULL,NULL
46,"LAGO AZUL DE YPACARAI SA","-",38,"                              ","                              ","128                           ",1,0,NULL,NULL,NULL,False,0,0,NULL,NULL
47,"YTORORO S.A.","88",47,"                              ","                              ","                              ",2,0,NULL,NULL,NULL,False,0,0,NULL,NULL
48,"PRUEBA (EPAS Y TDP)","-",0,"                              ","1                             ","PRUEBA                        ",2,0,NULL,NULL,NULL,False,0,0,NULL,NULL
49,"EL BUS SA","35",50,"35                            ","56                            ","                              ",1,1,22,20,2,True,18,0,"0032","elbuslinea35@gmail.com"
50,"YSAPY S.A.","1",51,"                              ","58                            ","1                             ",2,0,NULL,NULL,NULL,False,0,0,NULL,NULL
51,"LOMAGRANDENSE S.A.","128",52,"                              ","59                            ","                              ",2,0,NULL,NULL,NULL,False,0,0,NULL,NULL
52,"ASOCIACION DE USUARIOS S.A.","40",53,"40                            ","61                            ","                              ",1,1,22,20,2,True,16,0,"0035","adusa.aso01@gmail.com"
53,"POA RENDA S.R.L.","6",54,"                              ","63                            ","6                             ",2,0,NULL,NULL,NULL,False,0,0,NULL,NULL
54,"TDPLAB/Minga","0",55,"                              ","                              ","0                             ",2,0,NULL,NULL,NULL,False,0,0,NULL,NULL
55,"La Union","16",56,"                              ","                              ","16                            ",2,0,NULL,NULL,NULL,False,0,0,NULL,NULL
56,"Consquistador","132",57,"                              ","                              ","132                           ",2,0,NULL,NULL,NULL,False,0,0,NULL,NULL
57,"Paraguay","9",58,"                              ","                              ","9                             ",2,0,NULL,NULL,NULL,False,0,0,NULL,NULL
58,"MANUEL ORTIZ GUERRERO S.R.L.","20",59,"                              ","60                            ","                              ",2,0,NULL,NULL,NULL,False,0,0,NULL,NULL
59,"San Fernando S.A - Linea 21","21",13,"                              ","                              ","21                            ",1,0,NULL,NULL,NULL,False,0,0,NULL,NULL
60,"TECLA SA - LINEA 133","133",61,"                              ","65                            ","                              ",1,1,30,28,2,True,18,0,"003D","teclasociedadanonima2011@gmail.com"
61,"TECLA SA - LINEA 2","2",62,"                              ","27                            ","                              ",1,1,33,30,3,True,10,0,"003E","teclasociedadanonima2011@gmail.com"
62,"Consejo Municipal de Transporte Público de Ciudad del Este","1 CDE",64,"                              ","64                            ","1 CDE                         ",2,0,NULL,NULL,NULL,False,0,0,NULL,NULL
63,"EMP. DE TRANSPORTE Y TURISMO SANTO DOMINGO S.R.L.","7 CDE",65,"                              ","66                            ","                              ",2,0,NULL,NULL,NULL,False,0,0,NULL,NULL
64,"EMPRESA DE TRANSPORTE 3 DE FEBRERO S.R.L.","5 CDE",66,"                              ","67                            ","                              ",2,0,NULL,NULL,NULL,False,0,0,NULL,NULL
65,"EMP.TRANSP.TUR. CARGA CIUDAD JARDIN DEL ESTE SRL","3 CDE",67,"                              ","68                            ","                              ",2,0,NULL,NULL,NULL,False,0,0,NULL,NULL
66,"EMP. TRANSP. PASAJEROS Y TURISMO MBURUCUYA SA","6 CDE",68,"                              ","69                            ","                              ",2,0,NULL,NULL,NULL,False,0,0,NULL,NULL
67,"EMP. TRANSP.Y TURISMO ACARAYMI SOCIEDAD ANONIMA","2 CDE",69,"                              ","70                            ","                              ",2,0,NULL,NULL,NULL,False,0,0,NULL,NULL
68,"TRANS-CDE SA","7.1 CDE",70,"                              ","71                            ","                              ",2,0,NULL,NULL,NULL,False,0,0,NULL,NULL
69,"EMP.TRANSP. Y TURISMO MBURUCUYA POTY SRL","6.1 CDE",71,"                              ","72                            ","                              ",2,0,NULL,NULL,NULL,False,0,0,NULL,NULL
70,"Municipalidad de Ciudad del Este","",72,"                              ","                              ","1000                          ",2,0,NULL,NULL,NULL,False,0,0,NULL,NULL
71,"SAN ISIDRO SRL L85","85",73,"                              ","                              ","85                            ",1,2,NULL,16,NULL,False,0,0,"0049","[null]"
